timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,future_price,target,predicted_price
2025-06-16 03:00:00+00:00,105842.1484375,0.003762685216948114,105643.76953125,105643.76953125,280.55013970749076,105829.6640625,0,105825.59271189148
2025-06-16 04:00:00+00:00,105829.6640625,-0.0001179527738647268,105705.734375,105705.734375,225.55069502848363,105940.2109375,1,105794.51384038372
2025-06-16 05:00:00+00:00,105940.2109375,0.0010445736172299824,105870.67447916667,105764.353515625,60.54299449930153,106349.4140625,1,105867.53985793787
2025-06-16 06:00:00+00:00,106349.4140625,0.003862585522332207,106039.76302083333,105881.365625,273.80280969523665,106552.8125,1,106329.14200191195
2025-06-16 07:00:00+00:00,106552.8125,0.0019125487365680982,106280.8125,105993.2734375,312.0092937356882,106593.5546875,1,106522.98102982454
2025-06-16 08:00:00+00:00,106593.5546875,0.00038236613885711535,106498.59375,106184.63411458333,130.7895861011918,107042.75,1,106509.53768873714
2025-06-16 09:00:00+00:00,107042.75,0.004214094499586762,106729.70572916667,106384.734375,271.8685676696585,107164.796875,1,106996.82658772443
2025-06-16 10:00:00+00:00,107164.796875,0.0011401694650035044,106933.70052083333,106607.25651041667,300.82927197139213,106939.0390625,0,107107.33997741618
2025-06-16 11:00:00+00:00,106939.0390625,-0.0021066415379233927,107048.86197916667,106773.72786458333,113.0029410820747,106818.2265625,0,106811.96231980404
2025-06-16 12:00:00+00:00,106818.2265625,-0.0011297324256802632,106974.02083333333,106851.86328125,175.91344063079845,106875.265625,1,106700.52274494192
2025-06-16 13:00:00+00:00,106875.265625,0.0005339824890897571,106877.51041666667,106905.60546875,60.43752440564979,106709.203125,0,106765.94734460962
2025-06-16 14:00:00+00:00,106709.203125,-0.0015537973078136869,106800.8984375,106924.88020833333,84.37645651231986,107096.0390625,1,106597.2650205325
2025-06-16 15:00:00+00:00,107096.0390625,0.003625141282770583,106893.50260416667,106933.76171875,194.0617200589042,107539.734375,1,107029.85920529609
2025-06-16 16:00:00+00:00,107539.734375,0.004142966596935249,107114.9921875,106996.25130208333,415.58988801111394,107417.15625,0,107520.86505197217
2025-06-16 17:00:00+00:00,107417.15625,-0.0011398403177430572,107350.9765625,107075.9375,229.1313943173584,107837.8984375,1,107318.14733410603
2025-06-16 18:00:00+00:00,107837.8984375,0.003916899331432466,107598.26302083333,107245.8828125,216.3913096057357,107713.234375,0,107748.23557876237
2025-06-16 19:00:00+00:00,107713.234375,-0.001156032010140251,107656.09635416667,107385.54427083333,216.11238315778058,108269.6015625,1,107601.93800912144
2025-06-16 20:00:00+00:00,108269.6015625,0.00516526303130993,107940.24479166667,107645.61067708333,291.96265855425895,108497.359375,1,108192.0922638035
2025-06-16 21:00:00+00:00,108497.359375,0.0021036173516213452,108160.06510416667,107879.1640625,403.3753595404721,108822.1484375,1,108430.12141617962
2025-06-16 22:00:00+00:00,108822.1484375,0.0029935204356212886,108529.703125,108092.89973958333,277.6897565469588,108562.6484375,0,108716.59744074302
