timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,future_price,target,predicted_price
2025-06-20 19:00:00,103266.765625,-0.0003552942165845,103229.63541666669,103412.14322916669,97.8338414384322,103514.109375,103514.109375,103318.06243242756
2025-06-20 20:00:00,103514.109375,0.0023951921850462,103361.44791666669,103416.92057291669,133.4762918706421,103508.875,103508.875,103583.61238755561
2025-06-20 21:00:00,103508.875,-5.056677810977295e-05,103429.91666666669,103379.33333333331,141.3171839094554,103554.390625,103554.390625,103557.00079197894
2025-06-20 22:00:00,103554.390625,0.0004397267867126,103525.79166666669,103377.71354166669,24.90532038989142,103417.359375,103417.359375,103565.67606735056
2025-06-20 23:00:00,103417.359375,-0.0013232780297672,103493.54166666669,103427.49479166669,69.79057387981113,103439.5078125,103439.5078125,103419.32643822083
2025-06-21 00:00:00,103439.5078125,0.0002141655678877,103470.41927083331,103450.16796875,73.55970066116392,103624.296875,103624.296875,103454.32505896353
2025-06-21 01:00:00,103624.296875,0.0017864456860618,103493.72135416669,103509.75651041669,113.62267952127178,103471.6484375,103471.6484375,103679.15221579786
2025-06-21 02:00:00,103471.6484375,-0.0014730950375869,103511.81770833331,103502.6796875,98.7265270551266,103790.890625,103790.890625,103487.41171415932
2025-06-21 03:00:00,103790.890625,0.003085310733141,103628.9453125,103549.68229166669,159.67184958012564,103872.875,103872.875,103849.71477940954
2025-06-21 04:00:00,103872.875,0.0007898995230344,103711.8046875,103602.76302083331,211.98261189677905,103852.0390625,103852.0390625,103935.12296513276
2025-06-21 05:00:00,103852.0390625,-0.0002005907461404,103838.6015625,103675.20963541669,42.61201990895383,103895.7578125,103895.7578125,103850.00108303786
2025-06-21 06:00:00,103895.7578125,0.0004209715128817,103873.55729166669,103751.25130208331,21.867359621768863,103826.7265625,103826.7265625,103892.75303743753
2025-06-21 07:00:00,103826.7265625,-0.0006644279944959,103858.17447916669,103784.98958333331,34.922211733999404,103594.0703125,103594.0703125,103817.6703868205
2025-06-21 08:00:00,103594.0703125,-0.0022408127242646,103772.18489583331,103805.39322916669,158.06622651959404,103528.0390625,103528.0390625,103582.68327056248
2025-06-21 09:00:00,103528.0390625,-0.0006374037606671,103649.61197916669,103761.58463541669,156.8987355466691,103602.328125,103602.328125,103536.45157955434
2025-06-21 10:00:00,103602.328125,0.0007175743225962,103574.8125,103716.49348958331,40.71687252840659,103571.5234375,103571.5234375,103627.22232963197
2025-06-21 11:00:00,103571.5234375,-0.0002973358616307,103567.296875,103669.74088541669,37.32444339444928,103218.0546875,103218.0546875,103589.62383802437
2025-06-21 12:00:00,103218.0546875,-0.0034127985981909,103463.96875,103556.79036458331,213.52406607788268,102703.7578125,102703.7578125,103216.40123695276
2025-06-21 13:00:00,102703.7578125,-0.0049826251478685,103164.4453125,103369.62890625,436.3596782458555,102276.6484375,102276.6484375,102710.22245932498
2025-06-21 14:00:00,102276.6484375,-0.0041586538223824,102732.8203125,103150.05859375,471.3755440882053,102852.40625,102852.40625,102316.2436800416
2025-06-21 15:00:00,102852.40625,0.005629416111067,102610.9375,103037.453125,298.8912385352621,101604.40625,101604.40625,103012.6088449231
2025-06-21 16:00:00,101604.40625,-0.0121338921032778,102244.48697916669,102704.46614583331,624.6213009108766,101821.953125,101821.953125,101651.70838621887
2025-06-21 17:00:00,101821.953125,0.0021411165423743,102092.921875,102412.87109375,666.666369038834,102282.40625,102282.40625,101950.84117950112
2025-06-21 18:00:00,102282.40625,0.0045221399793298,101902.921875,102256.9296875,346.1761890387939,102907.671875,102907.671875,102502.78153302765
2025-06-21 19:00:00,102907.671875,0.0061131297935219,102337.34375,102290.91536458331,544.940269850815,102409.4609375,102409.4609375,103162.87050557762
2025-06-21 20:00:00,102409.4609375,-0.0048413391190617,102533.1796875,102313.05078125,330.4830135995387,102459.1171875,102459.1171875,102473.4645564102
2025-06-21 21:00:00,102459.1171875,0.0004848795174334,102592.08333333331,102247.50260416669,274.43310936271166,102403.3046875,102403.3046875,102504.40247334936
2025-06-21 22:00:00,102403.3046875,-0.0005447294641224,102423.9609375,102380.65234375,30.601409919507685,102675.6875,102675.6875,102453.5819904068
2025-06-21 23:00:00,102675.6875,0.0026599025620435,102512.703125,102522.94140625,143.88081407771924,102880.3984375,102880.3984375,102780.2653039194
