timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,predicted_price
2025-06-21 19:00:00,102907.671875,0.0061131297935219,102337.34375,102290.91536458331,544.9402698508079,102955.57826192646
2025-06-21 20:00:00,102409.4609375,-0.0048413391190617,102533.1796875,102313.05078125,330.4830135995271,102411.09202553204
2025-06-21 21:00:00,102459.1171875,0.0004848795174334,102592.08333333331,102247.50260416669,274.4331093626977,102457.24871972749
2025-06-21 22:00:00,102403.3046875,-0.0005447294641224,102423.9609375,102380.65234375,30.601409919382142,102456.8674669111
2025-06-21 23:00:00,102675.6875,0.0026599025620435,102512.703125,102522.94140625,143.88081407769255,102729.19485088317
2025-06-22 00:00:00,102880.3984375,0.0019937625204604,102653.13020833331,102622.60677083331,239.34543055541985,102920.0794767824
2025-06-22 01:00:00,102751.3828125,-0.0012540350441816,102769.15625,102596.55859375,103.50634421836337,102774.92379805607
2025-06-22 02:00:00,102491.3203125,-0.002530987835702,102707.70052083331,102610.20182291669,198.1831319570619,102496.9905124476
2025-06-22 03:00:00,102726.9296875,0.0022988227128075,102656.54427083331,102654.83723958331,143.6095614367645,102766.1470692802
2025-06-22 04:00:00,102205.046875,-0.0050802921306768,102474.43229166669,102621.79427083331,261.3509545256543,102222.93700297906
2025-06-22 05:00:00,102520.109375,0.0030826510982899,102484.02864583331,102595.86458333331,262.805596893634,102558.13322406099
2025-06-22 06:00:00,102781.7578125,0.0025521669757777,102502.3046875,102579.42447916669,288.76743502471635,102832.4537126449
2025-06-22 07:00:00,102766.828125,-0.000145256199327,102689.56510416669,102581.99869791669,146.94269972597726,102799.71899788077
2025-06-22 08:00:00,100866.9765625,-0.0184870117835019,102138.52083333331,102311.27473958331,1101.2149419659197,100742.29301778556
2025-06-22 09:00:00,99529.5078125,-0.0132597287594048,101054.4375,101778.37109375,1626.781148079711,99410.10221269584
2025-06-22 10:00:00,99182.046875,-0.0034910344192052,99859.51041666669,101274.53776041669,889.6197513670011,99290.63192931001
2025-06-22 11:00:00,99408.8125,0.0022863575833012,99373.45572916669,100755.98828125,176.40819625206072,99665.26424584897
2025-06-22 12:00:00,99566.6796875,0.0015880602889206,99385.84635416669,100220.14192708331,193.3421397516165,99806.1497362436
2025-06-22 13:00:00,99488.3359375,-0.0007868470681746,99487.94270833331,99673.7265625,78.9343283632828,99691.49885989455
2025-06-22 14:00:00,98914.84375,-0.0057644163217311,99323.28645833331,99348.37109375,355.8841388485937,99060.06182314637
2025-06-22 15:00:00,99740.65625,0.0083487216750519,99381.27864583331,99383.5625,423.1873332973264,99931.3449830315
2025-06-22 16:00:00,99235.078125,-0.0050689271958745,99296.859375,99392.40104166669,416.3583353647704,99404.00240835838
2025-06-22 17:00:00,100956.484375,0.0173467515975718,99977.40625,99650.34635416669,884.7868620519598,101100.87626245189
2025-06-22 18:00:00,100952.453125,-3.993057033391256e-05,100381.33854166669,99881.30859375,992.6926865131812,101028.23644044672
2025-06-22 19:00:00,101042.84375,0.0008953781924256,100983.92708333331,100140.39322916669,51.06312713158336,101133.08216205037
2025-06-22 20:00:00,101130.34375,0.0008659692933474,101041.88020833331,100509.64322916669,88.94922666956086,101230.39331412308
2025-06-22 21:00:00,101353.34375,0.0022050750717437,101175.51041666669,100778.42447916669,160.10179053750687,101452.3591600431
2025-06-22 22:00:00,101157.53125,-0.0019319786871856,101213.73958333331,101098.83333333331,121.66257662923728,101254.52160129628
2025-06-22 23:00:00,101188.46875,0.0003058348658544,101233.11458333331,101137.49739583331,105.2642941104208,101287.9471668291
