,timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,future_price,target,prediction
0,2025-06-10 22:00:00,109527.5078125,-0.0005037576140225,109614.65104166669,109661.03645833331,106.75896431108468,109611.7734375,1,1
1,2025-06-10 23:00:00,109611.7734375,0.000769355814653,109573.99739583331,109626.66276041669,42.80325040746312,109456.3515625,0,0
2,2025-06-11 00:00:00,109456.3515625,-0.0014179304843436,109531.87760416669,109600.58854166669,77.8030276823337,109597.2265625,1,1
3,2025-06-11 01:00:00,109597.2265625,0.001287042716014,109555.1171875,109584.88411458331,85.84223555044676,109253.6171875,0,0
4,2025-06-11 02:00:00,109253.6171875,-0.003135201371214,109435.73177083331,109504.86458333331,172.73023042668603,109359.2109375,1,1
5,2025-06-11 03:00:00,109359.2109375,0.0009665011806316,109403.3515625,109467.61458333331,176.0060985548978,109241.625,0,0
6,2025-06-11 04:00:00,109241.625,-0.0010752266452178,109284.81770833331,109419.96744791669,64.70484950637426,109624.5625,1,1
7,2025-06-11 05:00:00,109624.5625,0.0035054174633524,109408.46614583331,109422.09895833331,196.1627867041404,109640.390625,1,1
8,2025-06-11 06:00:00,109640.390625,0.0001443848407605,109502.19270833331,109452.77213541669,225.7969892510082,109864.5390625,1,1
9,2025-06-11 07:00:00,109864.5390625,0.0020443965606311,109709.83072916669,109497.32421875,134.21487878525178,109709.2734375,0,0
10,2025-06-11 08:00:00,109709.2734375,-0.0014132460421253,109738.06770833331,109573.26692708331,114.81490771255508,109439.1640625,0,0
11,2025-06-11 09:00:00,109439.1640625,-0.0024620468857072,109670.9921875,109586.59244791669,215.2558088238838,109120.078125,0,0
12,2025-06-11 10:00:00,109120.078125,-0.0029156466995469,109422.83854166669,109566.33463541669,294.936723791488,108862.140625,0,0
13,2025-06-11 11:00:00,108862.140625,-0.0023637950451659,109140.4609375,109439.26432291669,289.0512171573429,108727.84375,0,0
14,2025-06-11 12:00:00,108727.84375,-0.0012336416887356,108903.35416666669,109287.17317708331,199.338576912368,108913.375,1,1
15,2025-06-11 13:00:00,108913.375,0.0017063821336014,108834.453125,109128.64583333331,95.8144531051252,108516.9140625,0,0
16,2025-06-11 14:00:00,108516.9140625,-0.0036401492240967,108719.37760416669,108929.91927083331,198.3660138728533,108439.65625,0,0
17,2025-06-11 15:00:00,108439.65625,-0.0007119425867151,108623.31510416669,108763.33463541669,254.15202099572605,108683.1328125,1,1
18,2025-06-11 16:00:00,108683.1328125,0.0022452723562558,108546.56770833331,108690.51041666669,124.41749537392148,108724.734375,1,1
19,2025-06-11 17:00:00,108724.734375,0.0003827784627057,108615.84114583331,108667.609375,153.99191745176705,108487.7578125,0,0
20,2025-06-11 18:00:00,108487.7578125,-0.002179601209074,108631.875,108627.59505208331,126.53061013171164,108452.0546875,0,0
21,2025-06-11 19:00:00,108452.0546875,-0.0003290981924587,108554.84895833331,108550.70833333331,148.2041476501467,107871.3515625,0,0
22,2025-06-11 20:00:00,107871.3515625,-0.0053544686329205,108270.38802083331,108443.11458333331,346.0364859275778,107735.1796875,0,0
23,2025-06-11 21:00:00,107735.1796875,-0.0012623543974148,108019.52864583331,108325.70182291669,380.716137594844,107740.90625,1,1
24,2025-06-11 22:00:00,107740.90625,5.315406273620482e-05,107782.47916666669,108168.6640625,77.01899399101926,107927.96875,1,1
25,2025-06-11 23:00:00,107927.96875,0.0017362254180963,107801.3515625,108035.86979166669,109.6910776103922,107611.703125,0,0
26,2025-06-12 00:00:00,107611.703125,-0.0029303398244489,107760.19270833331,107889.86067708331,159.01245861707517,107724.859375,1,1
27,2025-06-12 01:00:00,107724.859375,0.001051523642076,107754.84375,107768.66145833331,160.25068938157497,107529.9921875,0,0
28,2025-06-12 02:00:00,107529.9921875,-0.0018089342481446,107622.18489583331,107711.76822916669,97.8555355148394,107310.1796875,0,0
29,2025-06-12 03:00:00,107310.1796875,-0.0020441971168072,107521.67708333331,107640.93489583331,207.4648561184632,106926.75,0,0
30,2025-06-12 04:00:00,106926.75,-0.0035730970595388,107255.640625,107505.2421875,305.2968493101969,106977.46875,1,1
31,2025-06-12 05:00:00,106977.46875,0.0004743317270936,107071.46614583331,107346.82552083331,208.2815741530571,106952.6640625,0,0
32,2025-06-12 06:00:00,106952.6640625,-0.0002318683344243,106952.29427083331,107236.98567708331,25.361397039586773,107591.7421875,1,1
33,2025-06-12 07:00:00,107591.7421875,0.0059753361975773,107173.95833333331,107214.79947916669,362.0239353029881,107038.265625,0,0
34,2025-06-12 08:00:00,107038.265625,-0.0051442290202482,107194.22395833331,107132.84505208331,346.9113197424745,107686.2734375,1,1
35,2025-06-12 09:00:00,107686.2734375,0.0060539827389416,107438.76041666669,107195.52734375,350.0444227819361,108291.40625,1,1
36,2025-06-12 10:00:00,108291.40625,0.0056194052703588,107671.98177083331,107422.97005208331,626.6925444812927,107561.625,0,0
37,2025-06-12 11:00:00,107561.625,-0.0067390504498134,107846.43489583331,107520.32942708331,390.3638530454541,106767.78125,0,0
38,2025-06-12 12:00:00,106767.78125,-0.0073803621877226,107540.27083333331,107489.515625,762.0369318358368,105933.046875,0,0
39,2025-06-12 13:00:00,105933.046875,-0.0078182234867787,106754.15104166669,107213.06640625,814.3746154206563,106039.7890625,1,1
40,2025-06-12 14:00:00,106039.7890625,0.0010076382266805,106246.87239583331,107046.65364583331,454.266440990308,105914.1875,0,0
41,2025-06-12 15:00:00,105914.1875,-0.0011844757860275,105962.34114583331,106751.30598958331,67.73148347229852,105938.03125,1,1
42,2025-06-12 16:00:00,105938.03125,0.0002251232867174,105964.00260416669,106359.07682291669,66.70698279456029,103938.2109375,0,0
43,2025-06-12 17:00:00,103938.2109375,-0.018877265217254,105263.4765625,105755.17447916669,1147.7756155749703,103839.7265625,0,0
44,2025-06-12 18:00:00,103839.7265625,-0.0009475280949295,104571.98958333331,105267.16536458331,1184.0511683757047,103693.359375,0,0
45,2025-06-12 19:00:00,103693.359375,-0.001409549045874,103823.765625,104893.88411458331,123.20363452057803,104419.1640625,1,1
46,2025-06-12 20:00:00,104419.1640625,0.0069995291103952,103984.08333333331,104623.77994791669,383.8323449936359,104493.46875,1,1
47,2025-06-12 21:00:00,104493.46875,0.0007116000991496,104201.99739583331,104386.99348958331,442.0574327211989,104097.5234375,0,0
48,2025-06-12 22:00:00,104097.5234375,-0.0037891871830506,104336.71875,104080.2421875,210.45449576476332,104669.3046875,1,1
49,2025-06-12 23:00:00,104669.3046875,0.0054927459474412,104420.09895833331,104202.09114583331,292.8665126124908,104945.40625,1,1
50,2025-06-13 00:00:00,104945.40625,0.0026378465331773,104570.74479166669,104386.37109375,432.44867410276345,104830.21875,0,0
51,2025-06-13 01:00:00,104830.21875,-0.0010975944933273,104814.9765625,104575.84765625,138.6804290935636,104892.1953125,1,1
52,2025-06-13 02:00:00,104892.1953125,0.0005912089399318,104889.2734375,104654.68619791669,57.64931096032213,104925.75,1,1
53,2025-06-13 03:00:00,104925.75,0.00031989689414,104882.72135416669,104726.73307291669,48.46516116260699,105022.0546875,1,1
54,2025-06-13 04:00:00,105022.0546875,0.0009178365415543,104946.66666666669,104880.82161458331,67.40915759139159,104874.90625,0,0
55,2025-06-13 05:00:00,104874.90625,-0.0014011193928537,104940.90364583331,104915.08854166669,74.73546949878663,104727.359375,0,0
56,2025-06-13 06:00:00,104727.359375,-0.0014068844519229,104874.7734375,104878.74739583331,147.34770114168043,104970.5859375,1,1
57,2025-06-13 07:00:00,104970.5859375,0.0023224739356701,104857.6171875,104902.14192708331,122.53152222178576,105454.7890625,1,1
58,2025-06-13 08:00:00,105454.7890625,0.0046127505212583,105050.91145833331,104995.90755208331,370.307479720499,105813.7578125,1,1
59,2025-06-13 09:00:00,105813.7578125,0.0034040061451097,105413.04427083331,105143.90885416669,423.1331627528475,105451.609375,0,0
60,2025-06-13 10:00:00,105451.609375,-0.0034225080460871,105573.38541666669,105215.50130208331,208.17467211970765,105100.703125,0,0
61,2025-06-13 11:00:00,105100.703125,-0.0033276519161706,105455.35677083331,105253.13411458331,356.54211402453365,105108.0625,1,1
62,2025-06-13 12:00:00,105108.0625,7.002212907414318e-05,105220.125,105316.58463541669,200.5051171465605,105452.4296875,1,1
63,2025-06-13 13:00:00,105452.4296875,0.0032763156251691,105220.3984375,105396.89192708331,200.97864521516303,105676.03125,1,1
64,2025-06-13 14:00:00,105676.03125,0.0021204021866791,105412.17447916669,105433.765625,286.1162116913555,105799.8515625,1,1
65,2025-06-13 15:00:00,105799.8515625,0.0011716972243882,105642.77083333331,105431.44791666669,176.08288189020664,106087.9375,1,1
66,2025-06-13 16:00:00,106087.9375,0.0027229332862515,105854.60677083331,105537.50260416669,211.3416412517622,105807.640625,0,0
67,2025-06-13 17:00:00,105807.640625,-0.0026421182427078,105898.4765625,105655.32552083331,164.12419840610016,105544.5859375,0,0
68,2025-06-13 18:00:00,105544.5859375,-0.002486159656771,105813.38802083331,105728.07942708331,271.72137298517606,105420.625,0,0
69,2025-06-13 19:00:00,105420.625,-0.0011744888323632,105590.95052083331,105722.77864583331,197.62977872600905,105298.625,0,0
70,2025-06-13 20:00:00,105298.625,-0.0011572687982072,105421.27864583331,105659.87760416669,122.98177155020169,105410.1328125,1,1
71,2025-06-13 21:00:00,105410.1328125,0.0010589674129173,105376.4609375,105594.92447916669,67.61173252114578,105354.5,0,0
72,2025-06-13 22:00:00,105354.5,-0.0005277748069908,105354.41927083331,105472.68489583331,55.75395008456168,105184.828125,0,0
73,2025-06-13 23:00:00,105184.828125,-0.0016104853138688,105316.48697916669,105368.8828125,117.3639334166364,105136.234375,0,0
74,2025-06-14 00:00:00,105136.234375,-0.0004619844027529,105225.1875,105300.82421875,114.5933249668295,105171.1953125,1,1
75,2025-06-14 01:00:00,105171.1953125,0.0003325298619247,105164.0859375,105259.25260416669,25.06482683829791,104919.8671875,0,0
76,2025-06-14 02:00:00,104919.8671875,-0.0023897049401522,105075.765625,105196.12630208331,136.13893234092166,105056.8671875,1,1
77,2025-06-14 03:00:00,105056.8671875,0.0013057584199489,105049.30989583331,105137.24869791669,125.8343796305505,105146.5625,1,1
78,2025-06-14 04:00:00,105146.5625,0.0008537786715065,105041.09895833331,105102.59244791669,114.1672850060725,105066.59375,0,0
79,2025-06-14 05:00:00,105066.59375,-0.0007605455480297,105090.0078125,105082.88671875,49.21865513384402,105068.9296875,1,1
80,2025-06-14 06:00:00,105068.9296875,2.2232923107434743e-05,105094.02864583331,105071.66927083331,45.510641900604,104967.0,0,0
81,2025-06-14 07:00:00,104967.0,-0.0009701220694182,105034.17447916669,105037.63671875,58.186528848921,104866.84375,0,0
82,2025-06-14 08:00:00,104866.84375,-0.0009541689292825,104967.59114583331,105028.79947916669,101.0442656654056,104494.4140625,0,0
83,2025-06-14 09:00:00,104494.4140625,-0.0035514531970454,104776.0859375,104935.05729166669,249.02229313462556,104657.3046875,1,1
84,2025-06-14 10:00:00,104657.3046875,0.0015588452881565,104672.85416666669,104853.51432291669,186.7011187957987,104915.703125,1,1
85,2025-06-14 11:00:00,104915.703125,0.0024689957215271,104689.140625,104828.36588541669,212.44120064834632,104736.453125,0,0
86,2025-06-14 12:00:00,104736.453125,-0.0017085144993637,104769.8203125,104772.953125,132.3913328993113,104908.3203125,1,1
87,2025-06-14 13:00:00,104908.3203125,0.0016409490905222,104853.4921875,104763.17317708331,101.425998113218,105445.15625,1,1
88,2025-06-14 14:00:00,105445.15625,0.0051171912380341,105029.9765625,104859.55859375,369.68258306179246,105417.4921875,0,0
89,2025-06-14 15:00:00,105417.4921875,-0.0002623549860784,105256.98958333331,105013.40494791669,302.27308911990264,105474.4609375,1,1
90,2025-06-14 16:00:00,105474.4609375,0.0005404107877911,105445.703125,105149.59765625,28.48831204796964,105707.3828125,1,1
91,2025-06-14 17:00:00,105707.3828125,0.0022083248677422,105533.11197916669,105281.54427083331,153.587441323057,105475.3046875,0,0
92,2025-06-14 18:00:00,105475.3046875,-0.0021954769745047,105552.3828125,105404.68619791669,134.23460052653047,105538.1953125,1,1
93,2025-06-14 19:00:00,105538.1953125,0.0005962592398887,105573.62760416669,105509.66536458331,120.02770303327658,105531.8359375,0,0
94,2025-06-14 20:00:00,105531.8359375,-6.025662065922699e-05,105515.11197916669,105524.11197916669,34.62045298629276,105606.6875,1,1
95,2025-06-14 21:00:00,105606.6875,0.0007092794495144,105558.90625,105555.64453125,41.50176262849008,106047.515625,1,1
96,2025-06-14 22:00:00,106047.515625,0.0041742444104213,105728.6796875,105651.15364583331,278.6448552966711,105514.8984375,0,0
97,2025-06-14 23:00:00,105514.8984375,-0.0050224390864884,105723.03385416669,105619.07291666669,284.7325459110916,105487.65625,0,0
98,2025-06-15 00:00:00,105487.65625,-0.0002581833267473,105683.35677083331,105621.13151041669,315.6648341135462,105193.8515625,0,0
99,2025-06-15 01:00:00,105193.8515625,-0.0027852044300207,105398.80208333331,105563.74088541669,178.01424433830235,104975.1953125,0,0
100,2025-06-15 02:00:00,104975.1953125,-0.0020786029482919,105218.90104166669,105470.96744791669,257.147157131351,105144.46875,1,1
101,2025-06-15 03:00:00,105144.46875,0.0016125089074241,105104.50520833331,105393.93098958331,114.67542200892196,104985.6171875,0,0
102,2025-06-15 04:00:00,104985.6171875,-0.0015107933340525,105035.09375,105216.94791666669,94.86475551214868,105298.8828125,1,1
103,2025-06-15 05:00:00,105298.8828125,0.0029838908737425,105142.98958333331,105180.9453125,156.6380506204747,105562.2890625,1,1
104,2025-06-15 06:00:00,105562.2890625,0.0025015103955949,105282.26302083331,105193.38411458331,288.69495312576714,105730.765625,1,1
105,2025-06-15 07:00:00,105730.765625,0.0015959919398891,105530.64583333331,105282.86979166669,217.67329050047093,105582.1953125,0,0
