timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,target,prediction
2025-06-16 22:00:00,107140.71875,-0.0020988359333751,107378.5859375,107363.11848958331,244.36969990556216,0,0
2025-06-16 23:00:00,106847.609375,-0.0027357421008528,107118.13020833331,107295.34895833331,259.9636366235408,0,0
2025-06-17 00:00:00,106788.078125,-0.0005571603365599,106925.46875,107215.64583333331,188.77344703808225,0,0
2025-06-17 01:00:00,106596.390625,-0.0017950271543947,106744.02604166669,107061.30598958331,131.2751104451845,0,0
2025-06-17 02:00:00,106154.6171875,-0.0041443564356145,106513.02864583331,106815.57942708331,324.85397413689,0,0
2025-06-17 03:00:00,105980.78125,-0.0016375730241949,106243.9296875,106584.69921875,317.3740185320118,0,0
2025-06-17 04:00:00,105674.625,-0.0028887902730005,105936.67447916669,106340.35026041669,243.01683159868887,0,0
2025-06-17 05:00:00,105537.6875,-0.0012958408889551,105731.03125,106122.02994791669,226.8683904856776,0,0
2025-06-17 06:00:00,105428.5859375,-0.0010337687425641,105546.96614583331,105895.44791666669,123.28168972050958,0,0
2025-06-17 07:00:00,104966.6171875,-0.0043818168089048,105310.96354166669,105623.81901041669,303.1610074793453,0,0
2025-06-17 08:00:00,104269.546875,-0.0066408762250081,104888.25,105309.640625,583.4800332125474,0,1
2025-06-17 09:00:00,103595.9296875,-0.006460344440813,104277.36458333331,104912.16536458331,685.3771903753067,1,1
2025-06-17 10:00:00,103907.2265625,0.0030049141499963,103924.234375,104617.59895833331,337.1305060186255,1,1
2025-06-17 11:00:00,104426.3515625,0.00499604327027,103976.50260416669,104432.37630208331,419.5229434505033,1,1
2025-06-17 12:00:00,104829.1796875,0.0038575332660062,104387.5859375,104332.47526041669,462.1974377206557,0,0
2025-06-17 13:00:00,104427.140625,-0.0038351827582596,104560.890625,104242.5625,232.3454786470924,1,0
2025-06-17 14:00:00,104612.7734375,0.001777629947435,104623.03125,104299.76692708331,201.21572747160235,0,0
2025-06-17 15:00:00,104273.34375,-0.0032446294687215,104437.75260416669,104412.66927083331,169.96349244898266,1,0
2025-06-17 16:00:00,104621.234375,0.0033363332611073,104502.45052083331,104531.67057291669,198.45737879226465,1,0
2025-06-17 17:00:00,104842.8359375,0.0021181317905856,104579.13802083331,104601.08463541669,287.0704010891265,0,0
2025-06-17 18:00:00,104796.71875,-0.0004398697067626,104753.59635416669,104595.67447916669,116.92505673468976,1,0
2025-06-17 19:00:00,104952.953125,0.0014908326984235,104864.16927083331,104683.30989583331,80.2722138491171,1,0
2025-06-17 20:00:00,105189.9921875,0.0022585268488604,104979.88802083331,104779.51302083331,198.01544288495967,1,0
2025-06-17 21:00:00,105455.4375,0.0025234844777519,105199.4609375,104976.52864583331,251.37597279713,0,0
2025-06-17 22:00:00,105453.8203125,-1.5335268985117168e-05,105366.41666666669,105115.29296875,152.7902204356379,0,0
2025-06-17 23:00:00,105024.25,-0.0040735395951234,105311.16927083331,105145.52864583331,248.4806930236144,0,0
