timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,future_price,target,prediction
2025-06-13 01:00:00+00:00,103822.375,-0.0011144692260448563,103880.29296875,103880.29296875,81.9083769113511,103693.359375,0,1
2025-06-13 02:00:00+00:00,103693.359375,-0.0012426572306788453,103817.98177083333,103817.98177083333,122.48488584946118,104419.1640625,1,1
2025-06-13 03:00:00+00:00,104419.1640625,0.006999529110395253,103978.29947916667,103968.27734375,387.2111097344546,104493.46875,1,1
2025-06-13 04:00:00+00:00,104493.46875,0.0007116000991496119,104201.99739583333,104073.315625,442.05743272119514,104097.5234375,0,0
2025-06-13 05:00:00+00:00,104097.5234375,-0.0037891871830506574,104336.71875,104077.35026041667,210.45449576475553,104669.3046875,1,1
2025-06-13 06:00:00+00:00,104669.3046875,0.005492745947441202,104420.09895833333,104199.19921875,292.86651261248517,104945.40625,1,1
2025-06-13 07:00:00+00:00,104945.40625,0.002637846533177335,104570.74479166667,104386.37109375,432.44867410275964,104830.21875,0,0
2025-06-13 08:00:00+00:00,104830.21875,-0.0010975944933273585,104814.9765625,104575.84765625,138.68042909355174,104892.1953125,1,1
2025-06-13 09:00:00+00:00,104892.1953125,0.0005912089399318088,104889.2734375,104654.68619791667,57.649310960293604,104925.75,1,1
2025-06-13 10:00:00+00:00,104925.75,0.000319896894140026,104882.72135416667,104726.73307291667,48.46516116257306,105022.0546875,1,1
2025-06-13 11:00:00+00:00,105022.0546875,0.0009178365415543066,104946.66666666667,104880.82161458333,67.40915759136719,104874.90625,0,0
2025-06-13 12:00:00+00:00,104874.90625,-0.0014011193928537002,104940.90364583333,104915.08854166667,74.73546949876462,104727.359375,0,0
2025-06-13 13:00:00+00:00,104727.359375,-0.0014068844519229406,104874.7734375,104878.74739583333,147.3477011416693,104970.5859375,1,1
2025-06-13 14:00:00+00:00,104970.5859375,0.0023224739356701996,104857.6171875,104902.14192708333,122.53152222177233,105454.7890625,1,1
2025-06-13 15:00:00+00:00,105454.7890625,0.004612750521258313,105050.91145833333,104995.90755208333,370.3074797204946,105813.7578125,1,1
