,timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,future_price,target,prediction
0,2025-06-15 22:00:00,106552.8125,0.001912548736568,106280.8125,105993.2734375,312.0092937356882,106593.5546875,1,0
1,2025-06-15 23:00:00,106593.5546875,0.0003823661388571,106498.59375,106184.63411458331,130.7895861011918,107042.75,1,0
2,2025-06-16 00:00:00,107042.75,0.0042140944995867,106729.70572916669,106384.734375,271.8685676696585,107164.796875,1,0
3,2025-06-16 01:00:00,107164.796875,0.0011401694650035,106933.70052083331,106607.25651041669,300.82927197139213,106939.0390625,0,0
4,2025-06-16 02:00:00,106939.0390625,-0.0021066415379233,107048.86197916669,106773.72786458331,113.0029410820747,106818.2265625,0,0
5,2025-06-16 03:00:00,106818.2265625,-0.0011297324256802,106974.02083333331,106851.86328125,175.91344063079845,106875.265625,1,1
6,2025-06-16 04:00:00,106875.265625,0.0005339824890897,106877.51041666669,106905.60546875,60.43752440564979,106709.203125,0,0
7,2025-06-16 05:00:00,106709.203125,-0.0015537973078136,106800.8984375,106924.88020833331,84.37645651231986,107096.0390625,1,1
8,2025-06-16 06:00:00,107096.0390625,0.0036251412827705,106893.50260416669,106933.76171875,194.0617200589042,107539.734375,1,0
9,2025-06-16 07:00:00,107539.734375,0.0041429665969352,107114.9921875,106996.25130208331,415.58988801111394,107417.15625,0,0
10,2025-06-16 08:00:00,107417.15625,-0.001139840317743,107350.9765625,107075.9375,229.1313943173584,107837.8984375,1,1
11,2025-06-16 09:00:00,107837.8984375,0.0039168993314324,107598.26302083331,107245.8828125,216.3913096057357,107713.234375,0,0
12,2025-06-16 10:00:00,107713.234375,-0.0011560320101402,107656.09635416669,107385.54427083331,216.11238315778056,108269.6015625,1,1
13,2025-06-16 11:00:00,108269.6015625,0.0051652630313099,107940.24479166669,107645.61067708331,291.9626585542589,108497.359375,1,1
14,2025-06-16 12:00:00,108497.359375,0.0021036173516213,108160.06510416669,107879.1640625,403.3753595404721,108822.1484375,1,1
