timestamp,price
2025-06-22 22:00:00+00:00,100956.484375
2025-06-22 23:00:00+00:00,100952.453125
2025-06-23 00:00:00+00:00,101042.84375
2025-06-23 01:00:00+00:00,101130.34375
2025-06-23 02:00:00+00:00,101353.34375
2025-06-23 03:00:00+00:00,101157.53125
2025-06-23 04:00:00+00:00,101188.46875
2025-06-23 05:00:00+00:00,101841.09375
2025-06-23 06:00:00+00:00,101976.609375
2025-06-23 07:00:00+00:00,101967.265625
2025-06-23 08:00:00+00:00,101925.3984375
2025-06-23 09:00:00+00:00,101610.2890625
2025-06-23 10:00:00+00:00,101536.203125
2025-06-23 11:00:00+00:00,101354.234375
2025-06-23 12:00:00+00:00,101638.3125
2025-06-23 13:00:00+00:00,102433.796875
2025-06-23 14:00:00+00:00,101607.5546875
2025-06-23 15:00:00+00:00,101502.34375
2025-06-23 16:00:00+00:00,100640.4921875
2025-06-23 17:00:00+00:00,102472.109375
2025-06-23 18:00:00+00:00,103055.1640625
2025-06-23 19:00:00+00:00,103298.171875
2025-06-23 20:00:00+00:00,103785.7734375
2025-06-23 21:00:00+00:00,103789.1953125
2025-06-23 22:00:00+00:00,105721.0
2025-06-23 23:00:00+00:00,105598.7578125
2025-06-24 00:00:00+00:00,105202.1796875
2025-06-24 01:00:00+00:00,105539.6875
2025-06-24 02:00:00+00:00,104840.8046875
2025-06-24 03:00:00+00:00,105031.109375
2025-06-24 04:00:00+00:00,104892.1640625
2025-06-24 05:00:00+00:00,105455.7109375
2025-06-24 06:00:00+00:00,105592.7734375
