timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,future_price
2025-06-16 22:00:00,107140.71875,-0.0020988359333751205,107378.5859375,107363.11848958333,244.36969990556216,106847.609375
2025-06-16 23:00:00,106847.609375,-0.0027357421008528116,107118.13020833333,107295.34895833333,259.9636366235408,106788.078125
2025-06-17 00:00:00,106788.078125,-0.0005571603365599476,106925.46875,107215.64583333333,188.77344703808225,106596.390625
2025-06-17 01:00:00,106596.390625,-0.0017950271543947238,106744.02604166667,107061.30598958333,131.2751104451845,106154.6171875
2025-06-17 02:00:00,106154.6171875,-0.004144356435614505,106513.02864583333,106815.57942708333,324.85397413689,105980.78125
2025-06-17 03:00:00,105980.78125,-0.0016375730241949826,106243.9296875,106584.69921875,317.3740185320118,105674.625
2025-06-17 04:00:00,105674.625,-0.0028887902730005965,105936.67447916667,106340.35026041667,243.01683159868887,105537.6875
2025-06-17 05:00:00,105537.6875,-0.0012958408889551798,105731.03125,106122.02994791667,226.86839048567757,105428.5859375
2025-06-17 06:00:00,105428.5859375,-0.0010337687425641118,105546.96614583333,105895.44791666667,123.28168972050958,104966.6171875
2025-06-17 07:00:00,104966.6171875,-0.004381816808904815,105310.96354166667,105623.81901041667,303.1610074793453,104269.546875
2025-06-17 08:00:00,104269.546875,-0.0066408762250081965,104888.25,105309.640625,583.4800332125474,103595.9296875
2025-06-17 09:00:00,103595.9296875,-0.006460344440813004,104277.36458333333,104912.16536458333,685.3771903753067,103907.2265625
2025-06-17 10:00:00,103907.2265625,0.003004914149996374,103924.234375,104617.59895833333,337.1305060186255,104426.3515625
2025-06-17 11:00:00,104426.3515625,0.004996043270270034,103976.50260416667,104432.37630208333,419.52294345050325,104829.1796875
2025-06-17 12:00:00,104829.1796875,0.003857533266006241,104387.5859375,104332.47526041667,462.1974377206557,104427.140625
2025-06-17 13:00:00,104427.140625,-0.00383518275825967,104560.890625,104242.5625,232.34547864709236,104612.7734375
2025-06-17 14:00:00,104612.7734375,0.0017776299474350221,104623.03125,104299.76692708333,201.21572747160235,104273.34375
2025-06-17 15:00:00,104273.34375,-0.003244629468721505,104437.75260416667,104412.66927083333,169.96349244898266,104621.234375
2025-06-17 16:00:00,104621.234375,0.0033363332611073826,104502.45052083333,104531.67057291667,198.45737879226462,104842.8359375
2025-06-17 17:00:00,104842.8359375,0.00211813179058562,104579.13802083333,104601.08463541667,287.0704010891265,104796.71875
2025-06-17 18:00:00,104796.71875,-0.00043986970676268555,104753.59635416667,104595.67447916667,116.92505673468976,104952.953125
2025-06-17 19:00:00,104952.953125,0.0014908326984235387,104864.16927083333,104683.30989583333,80.2722138491171,105189.9921875
2025-06-17 20:00:00,105189.9921875,0.0022585268488604093,104979.88802083333,104779.51302083333,198.01544288495967,105455.4375
2025-06-17 21:00:00,105455.4375,0.0025234844777519694,105199.4609375,104976.52864583333,251.37597279713,105453.8203125
2025-06-17 22:00:00,105453.8203125,-1.5335268985117168e-05,105366.41666666667,105115.29296875,152.79022043563793,105024.25
2025-06-17 23:00:00,105024.25,-0.004073539595123465,105311.16927083333,105145.52864583333,248.4806930236144,104975.828125
2025-06-18 00:00:00,104975.828125,-0.0004610542327129208,105151.29947916667,105175.38020833333,263.1070322989187,105003.40625
2025-06-18 01:00:00,105003.40625,0.0002627092873910275,105001.16145833333,105183.7890625,24.28886188862236,104724.359375
2025-06-18 02:00:00,104724.359375,-0.0026575030750490836,104901.19791666667,105106.18359375,153.76618811923552,104256.3828125
2025-06-18 03:00:00,104256.3828125,-0.0044686505154378775,104661.3828125,104906.34114583333,377.47256802556245,104860.6875
2025-06-18 04:00:00,104860.6875,0.005796332763499112,104613.80989583333,104807.48567708333,316.957298924684,104526.953125
2025-06-18 05:00:00,104526.953125,-0.0031826453073751093,104548.0078125,104724.60286458333,302.70202135583287,104493.953125
2025-06-18 06:00:00,104493.953125,-0.0003157080448000782,104627.19791666667,104644.29036458333,202.879987046228,104659.5078125
2025-06-18 07:00:00,104659.5078125,0.001584347060752389,104560.13802083333,104586.97395833333,87.62429241886173,104841.5234375
2025-06-18 08:00:00,104841.5234375,0.001739121736804794,104664.99479166667,104606.50130208333,173.8501099744162,104517.1640625
